text,label
Proud to be a Catholic Democrat! #biden2024,0
Tennessee GOP Lawmaker Once Called Expelled Rep a ‘Baboon’: Report,0
"Scott Walker blames young voters for GOP's losses in Wisconsin, but offers few solutions for winning them back",0
"Texas governor pushes pardon of man convicted of protester killing.Perry killed Foster, an Air Force veteran who was legally armed, during an altercation at an Austin BLM protest.",0
Texas governor seeks to pardon Army sergeant convicted of murder,0
"Clarence Thomas' benefactor, the billionaire megadonor Harlan Crow, has a collection of Hitler artifacts and Nazi memorabilia.",0
"Iowa won't pay for rape victims' abortions or contraceptives The Iowa Attorney General’s Office has paused its practice of paying for emergency contraception, and in rare cases abortions, for victims of sexual assault",0
Our future if we don’t vote.,0
Popular opinion,0
Democrats blast Texas abortion pill ruling as Republicans are mostly quiet,0
"Justin Pearson is the next generation of leadership we need.
Feel free to use and share. This is my original artwork.",0
Push this narrative re DeSantis vs Disney,0
#biden-harris2024,0
Good Trouble,0
Glad the GQP has switched from Bud to Coors.,0
Clarence Thomas’s Billionaire Benefactor Collects Hitler Artifacts,0
Gun deaths among U.S. children and teens rose 50% in two years,0
McCarthy faces GOP blowback after N.Y. Times leak,0
"Trump-Appointed Judge Bans the Abortion Pill Nationwide, Starting in 7 Days",0
Democrats ask chief justice to investigate Clarence Thomas trips: ‘It is your duty’,0
How’s that switch from Bud to Coors going? 🏳️‍🌈,0
"Should focus of Democrats in the upcoming election be saving the US from becoming a Christian theocracy? Because that is what Republicans are trying to do
We see the evangelical cult hijacking the Republican party and imposing their religious beliefs upon society. First they targeted women’s 2 to choose, now they are targeting the LGBT community, all in the name of Christianity. They claim Christians are targeted. The whole US is sick of Christofascism and religious zealotry. The Democrat main focus should be fight against Christian theocracy, and return to Medieval church dominance. The people of the US are generally against Christofascism and religious dominance, they want secular state. The Democrats need to make sure people are aware that Republicans want Christian theocracy and their main focus should be fighting against it.",0
A once reluctant Harris embraces her biracial identity in Africa,0
GOP tries hard to differentiate itself from KKK but it’s not easy,0
"Clarence Thomas’s Billionaire Benefactor Collects Hitler Artifacts - Washingtonian
Nothing to see here.",0
Here’s looking at you lawless Florida. What could go wrong?,0
"Tesla workers shared sensitive images recorded by customers' cars, former employees say. But between 2019 and 2022, groups of Tesla employees privately shared via an internal messaging system sometimes highly invasive videos and images recorded by customers' car cameras,",0
Racist Republicans violated TN Constitution when they removed two duly elected black men for protesting to protect children aginst gun violence,0
Expelled Tennessee House Dem Could Be Reinstated Almost Immediately,0
"Florida officials deleted data, stats from dubious COVID analysis: report",0
Texas judge halts FDA approval of abortion pill 😡,0
"Russia's 'Merchant of Death Warns Donald Trump His Life Is in Danger, Offers refuge in Russia.",0
Christofascist claims it is her religious 2 to discriminate against trans people,0
Why America should never forget the Tennessee House expulsion of 2 Democrats over gun protes,0
North Dakota senators vote to boost their own meal reimbursements after rejecting free school lunch bill .Thirteen Republican senators voted to increase meal reimbursements for state employees after voting against a bill to expand free school lunches for low-income students.,0
"AR Rep. Kolodin states he will shoot anyone who tries to take away his ""2"" to circumcise his child.",0
Abortion Pill to Be Blocked Nationwide Under Judge’s Order,0
"'Self-serving' North Dakota GOP boosts own meal allowance after axing free school lunch bill
There is a special place in hell for these turd nuggets.",0
Politicians May Get a Free Pass Under Meta's AI-Generated Fake Image Rules,0
We need to stop the TN and FL GQP.,0
Trump Makes Himself 2 Inches Taller In Fake Mugshot That Fundraises Off Arrest,0
Trump Makes Himself 2 Inches Taller In Fake Mugshot That Fundraises Off Arrest,0
"Live updates: Texas abortion pill ruling
A Texas district judge knows he has overstepped his authority. The product of a 2 wing law firm known as aggressive anti-abortionists pursuing this end for years, affects the entire country from an Amarillo, TX courtroom. Biden-Harris administration must respond within 7 days. This.Is.Insane.",0
White Fragility Is Poison,0
Maybe Disney can keep him so busy trying to get petty vengeance he won't have time to try to mount a presidential campaign.,0
"""The groomer of beers"": Conservatives vow to boycott Bud Light over partnership with trans activist",0
[Top Stories] - Opinion: The Clarence Thomas revelations are the last straw. It's time for Congress to act,0
"DeSantis: I’ll kill Reedy Creek deal, consider hotel tax, tolls for Disney World",0
"McDonald's gross profit for the twelve months ending December 31, 2022 was $13.207B, a 4.98% increase year-over-year.",0
Call your representatives. All of your representatives.,0
"Florida GOP launches ""Blue County Strategy Committee"" to ""pick off"" Democrat-held seats at every level of government; goal is ""no Democrats in office or considering running for office in the State of Florida""",0
Trump forced to admit he is one inch shorter than he claims on arraignment paperwork,0
Hermes Knows What's Up in Tennessee,0
"Most oppose Social Security, Medicare cuts: AP-NORC poll",0
White House Announces Crisis Hotline for LGBTQ+ Youth,0
Yachting and private jets: This US Supreme Court judge is under fire for 'cartoonish' behaviour,0
The Future of Republican Governance is on Display in Tennessee,0
California Senate contenders haul in millions in first quarter,0
Tennessee Home of Progressive Journalist Shot at While Family Slept,0
The GOP's epic losing streak,0
"TN Speaker, Who Refused to Remove Republican Accused of Child Sexual Abuse, Moves to Expel Three Dems Over Gun Violence Protest",0
Call Tennessee House Speaker Cameron Sexton to express your concerns,0
"Biden's 2022 Remarks Not Related to Trump Indictment, Contrary to Online Posts - FactCheck.org",0
"The absolute hypocrisy you'll hear in these audio recordings of ""simple man"" Clarence Thomas",0
Norway helped remake a US prison. Here’s what happened.,0
"Treasury, IRS Release Plan to Deliver Improved Service for Americans, Reduce Deficit by Hundreds of Billions by improving enforcement among high-income and high-wealth individuals, complex partnerships, and large corporations that are not paying the taxes they owe",0
Nailed it,0
"We Know Brett Kavanaugh Won't Be Drinking Bud Light Anytime Soon
xpost with r/wokefuturama",0
2023 Wisconsin Supreme Court election treemap,0
"Steve Bannon spent ""months"" recruiting anti-vaxxer RFK Jr. to run against Biden as ""chaos agent""",0
Painting that hangs at Camp Topridge showing Clarence Thomas on a luxury trip paid for by a billionaire who invited along conservative lobbyists.,0
Death of democracy through open racism.,0
"Tennessee GOP expels 2 black Democratic lawmakers, fails to remove another the white Democratic over gun protest.",0
"Freedom Caucus and progressives lock arms — and that could be bad news for McCarthy | The speaker’s immediate headache is a growing 2-0 alliance on Iraq war powers. But House liberals and conservatives are linking up on other issues, too.",0
Rep. Justin J. Pearson Expelled From Tennessee House.,0
"Steve Bannon spent ""months"" recruiting anti-vaxxer RFK Jr. to run against Biden as ""chaos agent""",0
Donald Trump is obsessed with sharks and 'hopes they all die',0
Biden issues second veto of presidency to save his administration's hallmark water rule -,0
How is this even legal?,0
‘God knows what they are doing.’ Clark Township racism scandal unresolved a year after revelations,0
Clarence Thomas on a luxury trip paid for by a billionaire who invited conservative lobbyists.,0
"Working on designing graphics in my spare time. Got a bunch of input from my last post. This is my ""final draft"".",0
Nedry and Kid Rock having lunch.,0
Tennessee lawmakers expel first of three Democrats over mass shooting protest,0
Foolish Tennessee Republicans elevate 3 Democrats to martyr status & political stardom,0
Rep. Justin Jones Expelled from Tennessee House,0
Ohio Supreme Court Reviews Trans Woman's Request to Adjust Birth Certificate,0
"Supreme Court Rules in Favor of Transgender Student, Blocks West Virginia Sports Ban",0
Supreme Court Rules for Transgender Girl in School Sports Dispute,0
Abortion Wins Elections,0
I'm working on creating graphics and looking for constructive criticism on content and design. What do you think?,0
Franklin County Ohio Senate elections in 2010 and 2022,0
Bill targeting Tester U.S. Senate race passes Montana Senate,0
Impeach Thomas.,0
"Clarence Thomas has accepted undisclosed luxury trips from GOP megadonor for decades, report says",0
"GOP budget
Can anyone tell me what the actual GOP budget plan is besides just we’re making cuts? Because I have family who is fighting with me that if we default it’s because democrats didn’t approve a plan that doesn’t exist because democrats made a plan to just raise the ceiling.",0
Federalist Society founder Leonard Leo accused of misusing $73m from nonprofit groups,0
Clarence Thomas Secretly Accepted Luxury Trips From Major GOP Donor,0
Clarence Thomas Secretly Accepted Luxury Trips From Major GOP Donor,0
Mom’s Interview With Anti-Trans Media Draws Criticism After Teen Responds,0
After 2 Democrats Booted from Office – 2 Presidents Lose Their Minds in Childish Meltdown,2
"Trump, Kid Rock And Mike Tyson Bring Down House In Miami With Surprise Appearance At UFC Fight",2
Graham: ‘I’d Be Very Much Open’ to Sending U.S. Forces to Taiwan,2
Insane Ai art depicting Donald Trump characters in some classic films 🤯,2
Riley Gaines threatens 'legal action' after being attacked by trans-2s activists,2
"House GOP Expands Probe Into Biden Election Interference, Targets DOJ Attorney Used to 'Jump St",2
Matthew Whitaker to Newsmax: Bragg Case Meddles in '24 Election,2
China is Penetrating America from Top-to-Bottom to Soften It Up for 'Inevitable' War,2
"The US Sending Troops to Taiwan is 'On the Table' if China Invades, Congressman Warns",2
China is 'Firing the Opening Salvo' in a Military Confrontation Over Taiwan: Report,2
"George Soros' Son a Frequent White House Visitor, Records Show",2
"China Encircles Taiwan During Concerning 'Drills' to Strike Island, McCaul Discusses Possibility of US Troops",2
Ukraine Intelligence Docs Leak Could be Worst for U.S. Govt Since Snowden: Report,2
"Matthew Whitaker to Newsmax: Bragg Case 'Flimsy,' Likely to Be Dismissed",2
Gordon Chang to Newsmax: China's 'Utter Disrespect' for Biden 'Really Serious',2
North Dakota become the 15th state legislature to pass a bill banning transsexual drugs/procedures for minors!,2
It’s Not Just About Trump › All the muscle flexing is meant to show how the Democrats and their government and media allies go after someone who stands in their way.,2
People With Taste Buds Continue Decades-Long Boycott Of Bud Light,2
A Hiccup in the Prosecution of the J6 Defendants,2
Texas school district's 'Women and Gender Studies' course taught students to use 'gender-neutral' language,2
Kamala Harris hammered for 'loud' defense of expelled Tennessee Democrats: 'What's wrong with this lady?',2
